night,observationStartMJD,azimuth,altitude,rotTelPos,rotSkyPos,filter,band,scheduler_note,survey
42,61248.959773125636,335.1483732034376,62.5210351098732,24.733387601167017,43.96707393262043,r_57,r,greedy r,WFD (greedy)
44,61250.960773740255,295.35792211954663,31.99286813034357,39.91409709551038,358.6642383318193,r_57,r,"twilight_near_sun, 0",twilight
45,61252.20136776211,182.5553455519663,53.80560850203433,36.471550702560755,239.3594630018669,z_20,z,"templates iz, 10, 49",templates
47,61253.96153846909,28.73562027787359,70.47137642799291,-24.14987353881879,139.48202380909154,r_57,r,greedy r,WFD (greedy)
48,61255.20253650186,123.45673161759046,44.283031979208275,0.07161706568374933,177.65838758289837,y_10,y,"DD:ELAISS1, 20260801, 0, 725",DDF
54,61261.20654550008,123.37901330211359,49.53196172539728,-3.6173216899913094,186.33106212584974,u_24,u,"DD:ELAISS1, 20260807, 0, 629",DDF
55,61261.964300662425,14.105905749939513,68.928195696956,34.93956402289538,67.52364729356043,r_57,r,greedy r,WFD (greedy)
56,61262.96508065271,284.572926780198,33.23297992743821,-4.937029441616894,37.81751951769054,i_39,i,"twilight_near_sun, 0",twilight
58,61264.96540704204,3.9708866100528524,59.74859736006227,-42.36615510992088,135.92378950732382,r_57,r,greedy r,WFD (greedy)
59,61266.200614064204,281.0786087712287,74.11535035537185,-45.63210184650692,65.10960350337871,g_6,g,"templates gg, 6, 6",templates
60,61266.96617474012,35.47267499734802,51.454666675921914,20.817934665279676,99.45000491454198,r_57,r,greedy r,WFD (greedy)
61,61267.96639861193,359.0035095058541,70.45252625248692,-2.1329587436701827,91.3885661736563,r_57,r,greedy r,WFD (greedy)
62,61268.967001298115,52.02144932797754,68.70470546244903,8.624102680492813,126.64240951949726,r_57,r,greedy r,WFD (greedy)
63,61269.96718291699,339.14779644347817,55.95764824683152,32.46151903323353,39.73448892277146,r_57,r,greedy r,WFD (greedy)
84,61290.97496538727,275.5083741937948,31.235985135708713,-57.25282601937139,86.170464493933,i_39,i,"twilight_near_sun, 0",twilight
85,61292.20080879994,104.76008925470853,35.046646965586504,3.3650274740026944,157.5956360752124,u_24,u,"DD:ECDFS, 20260907, 0, 1294",DDF
87,61294.3023660835,90.54683606218916,68.28963996959452,-16.577458674982566,184.75709426662968,u_24,u,"DD:ECDFS, 20260909, 0, 1297",DDF
88,61294.97649150537,267.17739573095656,33.8385241211357,-40.66243746696314,65.32473325907513,z_20,z,"twilight_near_sun, 0",twilight
89,61295.97654157326,51.64322205687181,59.939269643913825,0.5973898379779377,132.94251862840028,r_57,r,greedy r,WFD (greedy)
90,61296.97670170621,12.659063366983842,70.41863830621615,-40.41326949393725,141.68750993408543,r_57,r,greedy r,WFD (greedy)
91,61297.9770186113,4.750587825826064,73.88365555105119,25.23816458437896,69.147701422983,r_57,r,greedy r,WFD (greedy)
92,61299.20046776807,300.24986597598667,68.92190158610468,-5.693554147373021,43.959161790555214,g_6,g,"templates gg, 4, 43",templates
93,61299.97796202357,39.87932229949865,49.40111432437503,-13.806428421736644,137.6160165111741,r_57,r,greedy r,WFD (greedy)
94,61301.200473058605,61.473614938952444,46.28380385568312,-46.57575552649013,186.07566568113987,y_10,y,"DD:XMM_LSS, 20260916, 0, 116",DDF
